index,event_name,event_number,umask,mode,sample_period,type
0,BR_MISP_RETIRED.ALL_BRANCHES,0xC5,0x00,sampling,1000,raw
1,BR_MISP_RETIRED.CONDITIONAL,0xC5,0x01,sampling,1000,raw
2,BR_MISP_RETIRED.NEAR_CALL,0xC5,0x02,sampling,1000,raw
3,BR_MISP_RETIRED.NEAR_TAKEN,0xC5,0x20,sampling,1000,raw
4,BR_INST_RETIRED.ALL_BRANCHES,0xC4,0x00,sampling,20000,raw
5,BR_INST_RETIRED.COND_NTAKEN,0xC4,0x10,sampling,20000,raw
6,BR_INST_RETIRED.CONDITIONAL,0xC4,0x01,sampling,20000,raw
7,BR_INST_RETIRED.FAR_BRANCH,0xC4,0x40,sampling,10,raw
8,BR_INST_RETIRED.NEAR_CALL,0xC4,0x02,sampling,1000,raw
9,BR_INST_RETIRED.NEAR_RETURN,0xC4,0x08,sampling,1000,raw
10,BR_INST_RETIRED.NEAR_TAKEN,0xC4,0x20,sampling,20000,raw
11,BR_INST_RETIRED.NOT_TAKEN,0xC4,0x10,sampling,20000,raw
12,BR_MISP_EXEC.ALL_BRANCHES,0x89,0xFF,sampling,1000,raw
13,BR_MISP_EXEC.INDIRECT,0x89,0xE4,sampling,1000,raw
14,MEM_LOAD_RETIRED.FB_HIT,0xD1,0x40,sampling,1000,raw
15,MEM_LOAD_RETIRED.L1_MISS,0xD1,0x08,sampling,1000,raw
16,MEM_LOAD_RETIRED.L1_HIT,0xD1,0x01,sampling,1000,raw
17,MEM_LOAD_RETIRED.L2_HIT,0xD1,0x02,sampling,1000,raw
18,MEM_LOAD_RETIRED.L2_MISS,0xD1,0x10,sampling,100,raw
19,MEM_LOAD_RETIRED.L3_HIT,0xD1,0x04,sampling,100,raw
20,MEM_LOAD_RETIRED.L3_MISS,0xD1,0x20,sampling,10,raw
21,MEM_INST_RETIRED.ALL_LOADS,0xD0,0x81,sampling,1000,raw
22,MEM_INST_RETIRED.ALL_STORES,0xD0,0x82,sampling,1000,raw
23,MEM_INST_RETIRED.ANY,0xD0,0x83,sampling,10000,raw
24,MEM_INST_RETIRED.STLB_MISS_LOADS,0xD0,0x11,sampling,10,raw
25,MEM_INST_RETIRED.STLB_MISS_STORES,0xD0,0x12,sampling,10,raw
26,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,0x8,0x1,sampling,10,raw
27,DTLB_LOAD_MISSES.STLB_HIT,0x8,0x20,sampling,1000,raw
28,DTLB_LOAD_MISSES.WALK_COMPLETED,0x8,0xE,sampling,10,raw
29,DTLB_STORE_MISSES.STLB_HIT,0x49,0x20,sampling,1000,raw
30,DTLB_STORE_MISSES.WALK_COMPLETED,0x49,0xE,sampling,10,raw
31,ITLB_MISSES.MISS_CAUSES_A_WALK,0x85,0x1,sampling,10,raw
32,ITLB_MISSES.STLB_HIT,0x85,0x20,sampling,100,raw
33,ITLB_MISSES.WALK_COMPLETED,0x85,0xE,sampling,100,raw
34,L2_RQSTS.CODE_RD_HIT,0x24,0xC4,sampling,1000,raw
35,L2_RQSTS.CODE_RD_MISS,0x24,0x24,sampling,500,raw
36,ICACHE_64B.IFTAG_HIT,0x83,0x01,sampling,1000,raw
37,ICACHE_64B.IFTAG_MISS,0x83,0x02,sampling,500,raw
38,INST_RETIRED.ANY_P,0xC0,0x00,sampling,100,raw
